Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Return,Short_MA,Long_MA
,,,,,,,AAPL,AAPL,AAPL,AAPL,AAPL,,,
2021-06-09,2021,6,9,Wednesday,23,2021-23,124.0,124.52,123.33,123.92,56877900,0.003077138179357064,122.68071428571429,125.12519999999999
2021-06-10,2021,6,10,Thursday,23,2021-23,123.81,124.95,122.76,122.93,71186400,-0.008023287098575471,122.59714285714287,125.25039999999998
2021-06-11,2021,6,11,Friday,23,2021-23,123.34,124.22,122.92,124.13,53522400,0.009832578540718728,122.73071428571428,125.3558
2021-06-14,2021,6,14,Monday,24,2021-24,124.59,127.24,123.86,127.19,96906500,0.024577802285549177,122.96642857142857,125.5058
2021-06-15,2021,6,15,Tuesday,24,2021-24,126.66,127.3,126.12,126.37,62746300,-0.00643761055101566,123.15714285714284,125.58300000000001
2021-06-16,2021,6,16,Wednesday,24,2021-24,127.08,127.59,125.22,126.86,91815000,0.0039340939493826,123.38642857142858,125.664
2021-06-17,2021,6,17,Thursday,24,2021-24,126.52,129.2,126.38,128.46,96721700,0.012600555895203813,123.83928571428571,125.744
2021-06-18,2021,6,18,Friday,24,2021-24,127.41,128.19,126.95,127.17,108953300,-0.010091555686477571,124.24714285714286,125.75040000000001
2021-06-21,2021,6,21,Monday,25,2021-25,127.01,129.07,125.95,128.96,79663300,0.014103979380750475,124.80571428571429,125.7412
2021-06-22,2021,6,22,Tuesday,25,2021-25,128.79,130.69,128.3,130.6,74783600,0.012698097923895757,125.42714285714285,125.79899999999999
2021-06-23,2021,6,23,Wednesday,25,2021-25,130.39,130.93,129.87,130.32,60214200,-0.002089306703494165,126.13428571428572,125.7892
2021-06-24,2021,6,24,Thursday,25,2021-25,131.06,131.24,129.57,130.04,68711000,-0.0021693167659102564,126.65785714285714,125.8204
2021-06-25,2021,6,25,Friday,25,2021-25,130.09,130.51,129.46,129.75,70783700,-0.0022487770478069047,127.16,125.79780000000001
2021-06-28,2021,6,28,Monday,26,2021-26,130.04,131.84,129.98,131.38,62111300,0.012546033896471354,127.72,125.8144
2021-06-29,2021,6,29,Tuesday,26,2021-26,131.4,133.04,130.96,132.89,64556100,0.01150032979373683,128.3607142857143,125.848
2021-06-30,2021,6,30,Wednesday,26,2021-26,132.73,133.94,132.44,133.5,63261400,0.004621111354028651,129.1157142857143,125.92739999999999
2021-07-01,2021,7,1,Thursday,26,2021-26,133.15,133.86,132.33,133.8,52485800,0.00226340978575279,129.80642857142857,126.0052
2021-07-02,2021,7,2,Friday,26,2021-26,134.42,136.47,134.27,136.43,78852600,0.01959677919651437,130.46642857142857,126.166
2021-07-06,2021,7,6,Tuesday,27,2021-27,136.53,139.54,136.53,138.43,108181800,0.014718198611405109,131.32785714285714,126.32039999999999
2021-07-07,2021,7,7,Wednesday,27,2021-27,139.92,141.23,139.06,140.92,104911600,0.01795516944800557,132.33214285714286,126.5168
2021-07-08,2021,7,8,Thursday,27,2021-27,138.01,140.42,137.12,139.62,105575500,-0.009199675246980954,133.12928571428571,126.6938
2021-07-09,2021,7,9,Friday,27,2021-27,139.15,141.97,139.05,141.45,99890800,0.013054999779243737,134.14928571428572,126.92300000000002
2021-07-12,2021,7,12,Monday,28,2021-28,142.52,142.63,140.36,140.85,76299700,-0.004203640587704949,134.99857142857144,127.14219999999999
2021-07-13,2021,7,13,Tuesday,28,2021-28,140.39,143.74,140.0,141.96,100827100,0.00788908503058483,135.81,127.42299999999999
2021-07-14,2021,7,14,Wednesday,28,2021-28,144.36,145.79,143.95,145.38,127050800,0.024100683622111596,136.88571428571427,127.75120000000001
2021-07-15,2021,7,15,Thursday,28,2021-28,145.47,146.21,143.38,144.73,106820300,-0.004492069241259111,137.935,128.1576
2021-07-16,2021,7,16,Friday,28,2021-28,144.71,145.98,142.2,142.69,93251400,-0.014076283620747199,138.8592857142857,128.5184
2021-07-19,2021,7,19,Monday,29,2021-29,140.12,140.43,138.09,138.85,121434600,-0.02691414549058402,139.39285714285714,128.7704
2021-07-20,2021,7,20,Tuesday,29,2021-29,139.84,143.39,139.35,142.46,96350000,0.025973697727161404,140.07642857142858,129.0812
2021-07-21,2021,7,21,Wednesday,29,2021-29,141.86,142.44,140.98,141.73,74993500,-0.005131393140890728,140.6642857142857,129.4428
2021-07-22,2021,7,22,Thursday,29,2021-29,142.26,144.46,142.13,143.09,77338200,0.009628299887127323,141.32785714285714,129.85
